name,image,serving_size,prep_time_in_mins,cook_time_in_mins,ingredients,ingredients_name,ingredients_quantity_gram,is_vegetarian,is_breakfast,is_lunch,is_snack,is_dinner,energy_per_serving_kcal,carbohydrate_per_serving_g,protein_per_serving_g,fat_per_serving_g,fiber_per_serving_g
Chaul Biriyani,https://veganbangla.com/wp-content/uploads/2022/07/fullsizeoutput_1d84.jpeg?w=1024,4,5,55,"250 g of Basmati Rice,60ml Vegetable Oil,2 big Onion – Sliced,2-3 fresh Chili,1/4 tsp Turmeric powder,1/4 tsp Cumin powder,1/4 tsp Coriander powder,1 Bay leaf,1 inch cinnamon stick,2 whole Cardamom,1/4 Cumin seeds,2 tsp fine Salt",,"250,60,300,10,1.25,1.25,1.25,0.5,0.5,0.5,1.25,10",1,0,1,0,1,380.00,58.00,5.40,14.30,3.10
Ruti,https://veganbangla.com/wp-content/uploads/2020/11/fullsizeoutput_1bff.jpeg?w=900,4,15,5,"100ml water,200-250g Whole Wheat Flour,1tsp Salt,1tsp Oil",,"100,250,5,5",1,1,1,0,1,201,40.5,7.3,2.5,5.6
Bhaja Bhat,https://veganbangla.com/wp-content/uploads/2020/07/fullsizeoutput_d9a.jpeg?w=900,3,5,15,"500 g of leftover rice,Veggies,Edamame beans,20ml Vegetable Oil,1 big Onion Sliced, 2-3 fresh Chili and dried chili,1 tbs Cumin seeds (Cuminum cyminum),2 tsp fine Salt",,"500,200,100,20,150,15,15,10",1,1,1,0,1,368,61.7,10.1,9,5.6
Vegetable Khichuri ,https://veganbangla.com/wp-content/uploads/2020/06/fullsizeoutput_c6a.jpeg?w=1024,8,5,50,"500 g of Bashmoti Rice,250g of red Lentil (Mashur Daal/Lens culinaris) or Pulse of your choice,Veggies,60ml Vegetable Oil,1 big Onion – Sliced,2-3 fresh Chili and dried chili,1 tsp Turmeric powder,1tsp Cumin powder ,2 Bay leaf,1 tbs Cumin seeds (Cuminum cyminum),2 tsp fine Salt",,"500,250,400,60,150,15,5,5,2,15,10",1,1,1,0,1,438,76.6,13.7,8.3,5.2
Kalijira Bhorrta,https://veganbangla.com/wp-content/uploads/2024/01/fullsizeoutput_2d1a.jpeg?w=900,4,10,10,"1 cup Nigella seed,1 medium white Onion,1/4 tbs fine Salt,20ml Bangladeshi Mustard Oil,Dried Chili – as desired, Garlic – as desired",,"240,110, 3.75,20,1,10",1,0,1,0,1,185,18.4,6,12.2,4.4
Kathaler Bichi Bhorrta,https://veganbangla.com/wp-content/uploads/2023/09/fullsizeoutput_2a1a.jpeg?w=900,4,30,30,"150g Jackfruit seed- dried and peeled,1 medium white Onion,1/4 tbs fine Salt,20ml Bangladeshi Mustard Oil,Dried Chili – as desired",,"150,110,5,20,1",1,0,1,0,1,126,17.2,3,5.1,1.4
Jaam Alu Bhorrta,https://veganbangla.com/wp-content/uploads/2023/02/fullsizeoutput_2511.jpeg?w=900,4,30,30,"500g Red Potatoes,1 big Onion,1 tbs fine Salt,60ml Bangladeshi Mustard Oil,Dried Chili – as desired,20ml Vegetable Oil to fry",,"500,150,15,60,20",1,0,1,0,1,255,23.9,2.9,17.8,3.6
Dhonia Patar Bhorrta,https://veganbangla.com/wp-content/uploads/2022/10/fullsizeoutput_225b.jpeg?w=900,4,5,5,"Green Coriander leaves -250g,Green Chili- as per taste,Garlic – as per taste,Salt – as per taste,Tamarind – 50g",,"250,10,10,50",1,0,1,0,1,49,11.2,1.87,0.41,2.48
Tishi Bhorrta ,https://veganbangla.com/wp-content/uploads/2022/09/fullsizeoutput_206e.jpeg?w=900,4,15,5,"1 Cup or 250g Linseed,1 big Onion – Very Finely sliced,8-10 Dry Red Chili ,4-5 Cloves of Garlic,5 tbs Mustard Oil,1tsp Salt",,"250,1,8-10,5,75,5",1,0,1,0,1,444,23.4,12.2,36.4,18.1
Begun Bhorrta,https://veganbangla.com/wp-content/uploads/2022/07/fullsizeoutput_1e0d.jpeg?w=1024,5,30,5,"3 Aubergines,1 big white Onion,Few green chilis,Mustard oil,Salt to taste",,"600,100,10,14,5",1,0,1,0,1,93.47,9.64,1.62,6.02,3.56
Peper Jhol,https://veganbangla.com/wp-content/uploads/2023/02/fullsizeoutput_25b3.jpeg?w=900,5,10,40,"1 big green papaya,4-5 big potatoes,1 big onion,1 Tsp Turmeric powder,1 tsp ginger garlic paste,1 tsp coriander powder,1 tsp cumin powder ,1 tsp Nigella seeds,1 tbsp salt1 bay leaf,Green Chilies to taste,oil",,"500,800,100,5,5,5,5,5,15,1,5,10",1,0,1,0,1,188.3,35.7,4.97,4.08,6.23
Alu Mular Shiter Torkari,https://veganbangla.com/wp-content/uploads/2023/06/fullsizeoutput_272a.jpeg?w=900,6,10,35,"1 Half Chinese Radish,4 Medium Potatoes,Half a cauliflower,Edamame beans as desired,40ml Vegetable Oil,1 big onion,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),1tsp,Garlic Paste (or Garlic powder),2-3 green Chili (optional),Fresh Coriander leaves (optional)",,"150,400,500,100,40,150,15,5,5,5,5,5,5,10,10",1,0,1,0,1,166.3,26.7,5.76,5.07,5.68
Daal Borar torkary,https://veganbangla.com/wp-content/uploads/2022/09/fullsizeoutput_2160.jpeg?w=900,6,60,30,"Half of a big head of Cauliflower,2-3 medium Potatoes,250g Red Lentil or Moshur Daal,100ml Vegetable Oil,1tsp Nigella Seeds,1-2 Bay leaves,2-3 Dry Red Chili,2-3 Green Chili,3tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),Fresh Coriander leaves to taste",,"300,400,250,100,5,1,2,2,5,45,5,5,5,5,10",1,0,1,0,1,199.1,23.2,6.83,10,6.86
Echorer Torkari ,https://veganbangla.com/wp-content/uploads/2022/08/fullsizeoutput_1e0a.jpeg?w=900,2,5,30,"250g of canned Jack-fruit,20ml Vegetable Oil,2 medium white onion,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Gorom Moshla,1tsp Ginger Paste (or Ginger powder),1tsp Garlic Paste (or Garlic powder),2-3 Chili (optional),1 stick of Cinnamon,2-3 Cardamom,1 Bay leaf",,"250,20,200,15,5,5,5,5,5,5,5,5,2,1",1,0,1,0,1,258,49.2,4.76,6.93,5.88
Phulkopir Rosha ,https://veganbangla.com/wp-content/uploads/2020/09/fullsizeoutput_17a9.jpeg?w=900,5,5,30,"1 big head of Cauliflower,2 medium Potatoes,100g Muug Daal,3 tbs Tomato paste or 1 big tomato,20ml Vegetable Oil,1tsp Cumin Seeds,1-2 Bay leaves,2 Green Chili,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder)",,"500,250,100,45,20,5,1,5,15,5,5,5,5





",1,0,1,0,1,201.5,35.9,10.55,3.61,9.65
Phulkopir Phulkari,https://veganbangla.com/wp-content/uploads/2020/09/fullsizeoutput_16d6.jpeg?w=900,5,5,30,"1 big head of Cauliflower,2 medium Potatoes,1 can Coconut milk or Coconut paste,40ml Vegetable Oil,1tsp Cumin Seeds,2 Bay leaves,2 Dried Chili,2 Green Chili,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp,Ginger Paste (or Ginger powder),Gorom Moshla to sprinkle",,"500,250,400,40,5,1,2,2,15,5,5,5,5",1,0,1,0,1,334.6,27.9,7.5,24.7,8.2
Alu Beguner Torkari,https://veganbangla.com/wp-content/uploads/2020/06/fullsizeoutput_bfb.jpeg?w=900,4,5,35,"1 Medium Aubergine,5 Medium Potatoes,40ml Vegetable Oil,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),1tsp Black Cumin (Nigella Seed),2-3 Chili (optional)",,"200,500,40,15,5,5,5,5,5,5",1,0,1,0,1,225.2,39.65,5.09,6.35,7.57
Pachmishali Sobjir Torkari,https://veganbangla.com/wp-content/uploads/2020/05/fullsizeoutput_755.jpeg?w=900,6,10,25,"1 Medium Cauliflower head,4 Big Potatoes,200 gr Edamame beans,200 gr Long beans,40ml Vegetable Oil,1tbs fine Salt,1tsp Turmeric powder,2-3 Chili (optional),1tbs Pach Phoron (mix of cumin, fennel, fenugreek, nigella, mustard seeds)",,"500,600,200,200,40,15,5,5,15",1,0,1,0,1,228.1,36.01,10.16,6.34,8.38
Labra,https://veganbangla.com/wp-content/uploads/2020/05/fullsizeoutput_84a.jpeg?w=900,6,15,30,"Root Vegetables: Peeled and diced in 2cm,4 medium potatoes,1 big sweet potato,500g carrots(you can add same amount of pumpkin, butternut, turnip),Other veggies:1 big Cauliflower/ Broccoli – Chopped in big florets,1/2 cup Edamame beans/peas,1/2 cup Long,Beans/Flat beans,1 big Aubergine – Diced in 4cm long and 2cm thick,3 medium Tomatoes – Diced in quarters,30ml Vegetable Oil,1 inches Ginger – roughly minced ,2 tsp fine Salt,2-3 dried Chili ,1 tsp Turmeric powder,1 Bay leaf,1 tbs Pach Phoron (seed mix of nigella, cumin, fenugreek, anis and mustard —  you can use either of them if you don’t have Pach Phoron at home)",,"600,300,500,500,80,80,300,300,30,10,10,2,5,1,15",1,0,1,0,1,271.3,52.2,9.63,4.92,13.18
Alu Begun Bhadhakopi Torkari,https://veganbangla.com/wp-content/uploads/2020/04/fullsizeoutput_5ea.jpeg?w=900,4,10,25,"1 Medium Aubergine (also called Brinjal or Eggplant),4 Big Potato,1/4th of a Medium Cabbage head,40ml Vegetable Oil,1big Onion,1tbs fine Salt,1tsp Ginger paste,1tsp Garlic paste,1tsp Turmeric powder,1tsp Gorom Moshla powder,1tsp Chili powder,1tsp Cumin powder,1tsp Coriander powder,2-3 Chili (optional)",,"250,800,200,40,150,15,5,5,5,5,5,5,5,10",1,0,1,0,1,265.3,49.11,6.51,6.41,10.03
Misti Kumra Cholar Daal er Niramish,,6,10,25,"3 cup Pumpkin,1 cup Chickpea (dried and soaked or canned),1 tsp Ginger paste,1 tsp Coriander paste/powder,1/4tsp Black pepper paste/powder,1 tsp turmeric paste/powder,1 tsp chili paste/powder,1 Bay leaf,1/2 teaspoon cumin seed,1/4 teaspoon of Turmeric powder,5 Green Chili,2 Sliced onion ,2 teaspoon Cumin Powder,1/3rd Cup Vegetable oil,1teaspoon Salt",,"720,240,5,5,1.25,5,5,1,2.5,1.25,25,200,10,80,5",1,0,1,0,1,198.6,17.43,4.32,13.44,4.04
Chichinga Ghonto,,4,8,25,"2 Snake Gourd or Chichinga,2 Small Potatoes,100g Muug Daal,1 Dry red Chili,2 Green Chili,1 teaspoon Cumin seed,1 teaspoon Ginger Paste,1 teaspoon Turmeric powder,1 teaspoon Cumin Powder,20ml Vegetable oil,1 tablepoon Salt",,"300,200,100,1,2,5,5,5,5,20,15",1,0,1,0,1,179.5,26.58,8,5.61,5.86
Badhakopi Ghonto,,4,8,25,"250g Cabbage,1 Onion,2 Cloves of Garlic,2 Fresh Chili,1 teaspoon Salt,1 teaspoon of Turmeric powder,10 ml of Oil ,Fresh Coriander leaves to taste",,"250,100,10,10,5,5,10",1,0,1,0,1,52.65,7.52,1.35,2.39,2.34
Sojne Patar Bora,,4,10,30,"Fresh Moringa leaves: 200g,Green Chili- 2/3 pieces,Onion – 1,Beshon(chick pea flour) – 1/4th cup,Wheat flour – 1/4th cup,Salt- 1tsp,Garlic clove – 1 piece,Oil to fry",,"200,10,150,30,30,5,5,50",1,0,1,0,1,166.7,17.53,7.53,8.81,2.49
Echorer Bora,,4,20,15,"Green Jackfruit (Canned or fresh),200ml vegetable oil to fry,150-200g Gram Flour or Chick pea flour or Besan,Half tsp of Turmeric powder,Half tsp of Red Chili powder,Half tsp of Cumin powder,Half tsp of Gorom Moshla powder,1 tsp fine Salt,50g Fresh Coriander,2-3 green chili,1 onion",,"400,200,200,2.5,2.5,2.5,5,5,50,30,100",1,0,1,0,1,352.54,53.54,12.2,11.06,7.07
Pur Bhora Kakrol,,4,20,15,"Spiny Gourd aka Kakrol,200ml vegetable oil to fry ,150-200g Gram Flour or Chick pea flour or Besan,50g of Rice Flour,Half tsp of Turmeric powder,1 tsp fine Salt,200g shreded coconut,50g Fresh Coriander,150g White poppy seeds,2-3 green chili,1 onion",,"200,200,150,50,2.5,5,200,50,150,30,100",1,0,1,0,1,688.1,61.13,20.39,43.12,18.19
Tormujer Khosa diye Daal,,4,10,30,"250g of white parts of watermelon,1 big potato,20ml Vegetable Oil,1 medium white onion,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,2-3 Chili (optional)",,"250,200,20,100,15,5,5,5,6",1,0,1,0,1,120.34,18.14,2.2,5.19,2.75
Lau er Khosa Bhaji,,3,10,20,"Skin of 1 big Bottle Gourd/Lau,20ml Vegetable Oil (Olive/Mustard/Coconut oil, anything will do),1 medium Onion,1 clove Garlic,1tbs fine Salt,1tsp Turmeric powder,2-3 Chili (optional)",,"100,20,100,5,15,5,12",1,0,1,0,1,83.73,7.13,1.06,6.17,1.68
Kachchi Biryani,,8,60,120,"Mutton or Beef,Aromatic rice,Sour yogurt,Ginger paste,Garlic paste,Dried red chili,Nutmeg, Mace,White pepper,Cinnamon,Cardamom,Cloves,Star anise,Raisin,Vegetable oil,Ghee,Potato,Prune,Milk powder,Liquid milk,Fried onion,Black pepper,Caraway,Cashew nuts,Salt",,"1000,400,60,30,30,10,1.5,2,1,3,2,1,1,10,120,30,600,50,30,240,50,1,5,15,20",0,0,1,0,1,896,69.44,40.12,50.88,4.26
Chirar Chop,,4,10,20,"1/2 cup Flatten rice,1/3 cup Chopped onion,1 tsp Chopped green chilies,1/2 tsp Roasted cumin powder,1/2 tsp Roasted coriander powder ,1/4 tsp Turmeric powder ,1/4 tsp Red chili powder,To taste Salt ,To fry Oil",,"40,50,5,2.5,2.5,1.25,1.25,1-2,10-20",1,0,0,1,0,89.36,9.72,1.06,5.4,0.82
Sujir Barfi Halwa ,,4,5,20,"1 cup Semolina,1/2 cup or to taste Sugar,2 tbsp Ghee or clarified butter,2 pcs or 1/4 tsp powder Cardamom ,2 pcs or 1/4 tsp powder Cinnamon,1 and 1/2 cup Liquid milk or water,Just a pinch Salt",,"150,100,30,1,1,360,0.5",1,1,0,1,0,347.45,58.66,8.18,8.82,1.76
Ilish Polao,,5,20,45,"Hilsa fish – 600g,Normal rice – 300g,Chopped onion – 100g,Green chilies – 20g,Vegetable oil – 2 tbsp,Turmeric powder,Coconut milk,Salt – to taste",,"600,300,100,20,30,5,240",0,0,1,0,1,1061,73.65,42.9,67.05,4.09
Palm Cake,,4,20,30,"1 cup Palm pulp,2 cups Rice flour,1/2 cup All purpose flour ,3/4 cup Sugar ,To taste Salt,For deep fry Oil",,"250,240,60,150,5,200",1,1,0,1,0,574.93,113.5,5.45,10.87,2.03
Beef Tehari ,,4,40,90,"500 gm Aromatic rice (Basmati/Kalojeera/Chinigura) ,700 gm Beef ,1/2 cup Sour yoghurt ,1 tsp each Ginger-garlic pastes ,1 tbsp Papaya paste,1/2 cup Chopped onion ,15 pcs Green chili,1/2 cup Mustard oil ,2 tbsp Ghee,2 tsp to taste Sugar ,8/10 pcs Raisin ,To taste Salt",,"500,700,125,10,15,75,60,100,30,10,20,5",0,0,1,0,1,1045.42,109.18,55.88,43.19,2.32
Egg Biryani ,,5,20,60,"5 pcs Boiled eggs,6 pcs Large potato pieces,1 cup Chopped onion,1 tbsp Ginger-garlic pastes ,1/2 packet Ready-made biriyani masala,2 tsp or to taste Sugar,4 pcs Green chilies ,10/12 pcs Raisins ,2 tsp Ghee ,1/2 cup Oil ,2 cups or 500 gm Chinigura/aromatic rice ,To taste Salt",,"250,300,150,15,25,10,16,20,10,100,500,10",1,0,1,0,1,652.33,106.7,17.38,16.96,4.41
Pulao,,6,30,45,"3 cups Aromatic rice (Kalojeera/Chinigura),1 tsp each Ginger-garlic pastes,2 tbsp Chopped onion,1 pc Bay leaf,3 pcs Cinnamon ,4 pcs Cardamom,4/5 pcs Cloves,7/8 pcs Black pepper,1 cup Hot liquid milk,5 cups Hot water ,1/2 cup Vegetable/soybean oil,3 tbsp,Ghee/clarified butter,4/5 pcs Green chilies,To taste Sugar ,To taste Salt,8/10 pcs Raisin ,As required Crispy fried onion/beresta,As required Boiled peas (optional)",,"750,10,30,1,3,2,1,2,240,1200,100,45,20,10,10,20,50,100",1,0,1,0,1,530.25,92.85,9.58,12.89,2.67
Bhapa Pitha,,4,40,60,"2 cups Rice flour ,1 cup Grated coconut,1 cup Jaggery ,To taste Salt",,"240,90,150,5",1,1,0,1,0,442.88,88.42,4.49,8.17,3.02
Fried Rice ,,4,30,30,"1 cup Chinigura/aromatic rice ,200 gm Shrimp,1/2 cup Chopped cabbage,1/2 cup Chopped carrot,1/2 cup Chopped capsicum ,1/2 cup Chopped onion,4-5 pcs Chopped green chilies ,2 tbsp Chopped green onion,1/4 tsp each Ginger-garlic pastes,2 tbsp Vegetable oil/butter,1/2 tsp Black pepper powder,1 tbsp Soy sauce ,2 pcs Egg,To taste Salt,To taste Sugar",,"125,200,50,60,50,80,20,10,2.5,30,2.5,15,100,5,5",0,0,1,0,1,377.14,47.59,20.36,11.55,2.14
Chitoi Pitha,,6,30,30,"1 cup Chinigura/kalijeera rice ,1/2 cup Normal rice,2 tbsp Scraped coconut (optional),1 & 1/2 cups Lukewarm water ,1 tsp Vegetable/soybean oil,1 tsp Water,To taste Salt",,"125,100,15,360,5,5,5",1,1,0,1,0,197.45,40.3,3.57,1.95,0.83
Vuna Khichuri,,6,15,45,"500 gm Normal rice,200 gm Chickpea dal,1/2 cup Vegetable/soybean oil,2 tbsp Ghee,1/2 tsp Black cumin (Shahi jeera),2 pcs Bay leaves,4 pcs each Whole cinnamon & cardamom,1/2 cup Chopped onion,1 tbsp each Garlic-ginger pastes,1 tsp Cumin powder,1 tsp Turmeric powder,4-5 pcs Whole green chilies,1 tbsp Dried red chili powder,As required Crispy fried onion/beresta,To taste Salt,4 pcs Cloves,5-6 pcs Black pepper,1/2 tsp Nutmeg-mace paste",,"500,200,120,30,2.5,0.5,2,1,80,15,5,5,20,15,50,5,1,1,2.5",1,0,1,0,1,721.42,96.71,13.58,31.59,8.65
Zarda,,8,20,30,"2 cups Aromatic rice (Kalojeera/Chinigura),1 cup Sugar,2 pcs Bay leaves,2 pcs Cinnamon,5-6 pcs Cloves,1/2 tsp Cardamom powder,1/2 cup Ghee,As required Dry fruits (Nuts, raisins etc.),As required Confiture (Morobba),1 tsp Food color (Orange/Egg Yolk)",,"400,200,0.5,1,1,2.5,120,50,50,5",1,0,1,0,1,460.14,69.9,4.31,18.31,1.36
Butter Cookie ,,4,20,30,"1/2 cup Salted Butter,1/2 cup Powdered sugar,1 pc \Egg yolk,1/2 tsp Vanilla extract,1 cup Wheat flour,2 tbsp Corn flour,2 tbsp Milk powder,1 tsp Baking powder",,"115,60,17,2.5,120,30,30,5",1,1,0,1,0,433.24,43.31,5.14,26.9,0.85
Fulko Luchi,,5,40,20,"1 cup Flour,1/2 tsp Sugar,To taste Salt,One & half cups/as per requirement Soybean/vegetable oil",,"120,2.5,5,360",1,1,0,1,0,301.46,18.81,2.47,24.24,0.65
Chocolate Cake,,6,20,30,"2 pcs Egg,1 cup Flour,1/4 cup Cocoa powder,1 tbsp Milk powder,1 tsp Baking powder,1/4 tsp Baking soda,3/4 cup Sugar,2 tbsp Oil,1 tsp Vanilla essence,1 tbsp Butter,1/2 cup Liquid milk",,"100,120,30,15,5,1.25,150,30,5,15,120",1,0,0,1,0,295.92,45.67,7.04,10.89,2.03
Shahi Tukra,,4,10,20,"6 pcs Bread,2 cups Liquid milk,2 tbsp Powder milk,1 tsp Custard powder,1/4 cup Sugar,1/4 tsp Cardamom powder,1/2 cup Ghee,As required Mixed dry nuts",,"180,480,30,5,50,1,100,50





",1,0,0,1,0,557.52,46.43,10.65,36.91,1.64
Milk Cookies,,4,20,30,"1 tbsp Butter,2 tbsp Icing sugar,1/4 cup Corn flour,2 tbsp Flour,1/4 cup Milk powder,1/2 tsp Baking powder,2 tsp Liquid milk",,"15,30,30,15,30,2.5,10",1,0,0,1,0,136.11,20.35,2.53,4.91,0.18
Milk Bun,,4,150,25,"1.5 cups Flour,2 tbsp Milk powder,1/2 tbsp Dry yeast,1 tbsp Sugar,1 tsp or to taste Salt,1 pc Beaten egg,1/2 cup Melted butter",,"180,30,7.5,15,5,50,120",1,1,0,1,0,439.77,39.82,8.71,27.59,1.65
Cupcake,,1,10,2,"3 tbsp Wheat flour,2 tbsp Sugar,2 tbsp Vegetable oil/butter,1 tbsp Cocoa powder,3 tbsp Liquid milk,1/4 tsp Baking powder,Just a pinch Baking soda,1 tsp Chocolate chips",,"45,30,30,15,45,1.25,0.5,5",1,1,0,1,0,529.27,58.81,5.69,32.72,3.05
Paratha,,2,15,20,"1 cup Wheat flour,1 tbsp Milk powder,1/2 tsp Sugar,To taste Salt,To fry Oil",,"120,15,2.5,5,200",1,1,0,1,0,351.32,50.1,8.28,12.74,1.62
Garlic Bread,,4,120,20,"1 cup Wheat flour,1 tsp Dry yeast,As required Warm milk or water,2 tbsp Oil,1 tsp Sugar,To taste Salt,1 tbsp Butter,1 tbsp Chopped garlic,2 tbsp Coriander leaves,As required Grated cheese,As required Chili flakes,As required Italian mixed herb",,"120,5,240,30,5,5,15,8,10,50,2,2",1,0,0,1,0,233.61,25.62,4.98,12.44,1.34
Malai Cake,,4,30,40,"1 cup Wheat flour,3 pcs Eggs,1/2 cup for cake, 1/4 cup for malai Sugar,1/3 cup Oil,1 tsp Baking powder,2 tbsp Powder milk,3 cups Liquid milk,1/4 tsp Cardamom powder,As required Chopped dried nuts & fruits",,"120,150,100,50,80,5,30,720,1,50





",1,0,0,1,0,334.14,39,8.55,15.25,0.81
