name,image,serving_size,prep_time_in_mins,cook_time_in_mins,ingredients,ingredients_name,ingredients_quantity_gram,is_vegetarian,is_breakfast,is_lunch,is_snack,is_dinner,energy_per_serving_kcal,carbohydrate_per_serving_g,protein_per_serving_g,fat_per_serving_g,fiber_per_serving_g
Fish Finger,,4,45,15,"300 gm fBoneless fish,1/2 tsp each Ginger-garlic pastes,1 tsp Soy sauce,1 tsp Red chili powder,Just a pinch Black pepper,1/2 tsp Lemon juice,1 pcs Egg,1/4 cup Wheat flour,1/2 cup Breadcrumb,To deep fry Oil,To taste Salt",,"300,2.5,2.5,5,5,1,2.5,50,30,50,200,5",0,0,1,1,1,210,17.2,18.55,7.15,0.95
Shim Shorputir Jhol,,6,20,30,"500 gm Bean,500 gm Puntius Fish,2 tbsp Chopped onion,5/7 pcs Sliced green chili,1 tsp Turmeric powder,1/2 tsp Mustard paste,2 pcs Tomato,2 tbsp Vegetable/soybean oil,To taste Salt,1 pc Potato (Big, optional)",,"500,500,30,20,5,2.5,200,30,5,300





",0,0,1,0,1,203.83,14.9,22.94,6.63,4.08
Puishak Chingri,,4,15,15,"500 gm Malabar spinach,200 gm Small shrimp,2 tbsp Chopped onion,5-6 pcs Sliced green chili,1 tsp Turmeric powder,To taste Salt",,"500,200,30,20,5,5",0,0,1,0,1,84.75,7.98,12.78,1.13,2.55
Parshe Macher Chochchori,,4,10,15,"7/8 pcs Parshe fish (Mullet),1 pc Potato, medium in size,1/2 cup Chopped onion,6/7 pcs Green chili slices,2 pcs Tomato slices,1 tbsp Coriander leaves (Optional),2 tbsp Mustard oil,1 tsp Turmeric powder,To taste Salt",,"500,200,75,25,150,15,30,5,5",0,0,1,0,1,266.75,12.93,29.35,13.28,2.38
Rui Machher Jhol,,4,15,30,"2 pcs Potato (medium size),4 pcs Rohu fish,12/15 pcs Kumra Bori (Pellets made locally with dal & ash gourd),½ cup Chopped onion,1 tsp Cumin powder,½ tbsp Red chilli powder,½ tsp Turmeric powder,½ cup Oil,2 pcs Tomato,½ tsp Roasted cumin powder,Salt to taste",,"200,800,100,75,5,7.5,2.5,120,200,2.5,5",0,0,1,0,1,587.75,37.2,36.48,35.15,5.8
Sorisha Ilish,,4,30,15,"4 pcs Hilsa fish,3 tbsp Mustard oil,1 tbsp Mustard paste,1/2 cup Chopped onion,5-6 pcs Green chili slice,2 tsp Turmeric powder,To taste Salt",,"800,45,15,75,20,10,5",0,0,1,0,1,417.25,4,35.35,28.58,1.25
Hilsa Fish Fry,,3,20,15,"3 pcs Hilsa fish pieces,1/2 tsp Turmeric powder,1/2 tsp Dried red chili powder,1/2 tsp or to taste Salt,1/4 cup Chopped onion,2-3 pcs Sliced Green chili,1 tbsp Vegetable/soyabean oil",,"450,2.5,2.5,2.5,40,8,15",0,0,1,0,1,355.5,2.33,34.83,22.33,0.82
Egg Salad,,2,10,10,"2 pcs eggs,1 pc Cucumber,1 pc Tomato,2 tbsp Chopped onion,1 pc Chopped green chili,1 tbsp Chopped coriander leaves,2 tbsp Lemon juice,1 tbsp Olive oil,1 tbsp Mayonnaise,1/2 tbsp Black pepper powder,To taste Salt,1/2 cup Cabbage/Capsicum",,"100,200,150,30,4,15,30,15,15,7.5,5,50",1,1,1,1,1,220,12.1,8.05,17,2.48
Crispy Egg Ball,,4,20,20,"2 pcs Grated boiled eggs,1 tbsp Finely chopped onion,1 tsp Chopped green chilies,1 tsp Chopped coriander leaves,1 tbsp Chopped capsicum,To taste Salt,1/2 tsp Roasted coriander powder,1/2 tsp Roasted cumin powder,1 tbsp Corn flour,1 tbsp Gram flour,1/2 tsp,Red chili powder,A pinch Italian mixed herbs,To fry Oil",,"100,15,4,5,15,5,2.5,2.5,15,15,2.5,0.5,100",1,0,0,1,0,80.5,4.44,3.85,5.47,0.69
Dimer Barfi,,4,10,20,"4 pcs egg,1 cup Liquid milk,1/2 cup Milk powder,1/2 cup Ghee,1 cup Sugar,Just a pinch Salt,1 tbsp Semolina,1/2 tsp Cardamom powder",,"200,240,60,120,200,0.5,15,2.5",1,0,0,1,0,618,67.9,12.88,34.25,0.18
Milk Egg Caramel Pudding ,,4,20,30,"2 pcs Egg,3/4 cup Sugar,1 cup Milk,1/2 tsp Vanilla essence",,"100,150,240,2.5",1,0,0,1,0,218.63,41,5.15,4.48,0
Dim Alur Curry,,6,15,30,"4 pcs Egg,2 pcs Potato (Medium size),2 tbsp Chopped onion,1 tsp Garlic paste,1 tsp Dried red chili powder,1 tsp Cumin powder,1 tsp Turmeric powder,1 tsp Sugar,2 tbsp Vegetable/soyabean oil,2 cups Coconut milk,4-5 pcs Green chilies (Optional),To taste Salt,1 pc Bay leaf,2 pcs Cinnamon,1 pc Cardamom",,"200,200,30,5,5,5,5,5,30,480,20,5,1,2,1",1,0,1,0,1,235.83,16.92,6.72,18.45,1.82
Dim Vuna,,10,15,20,"10 pcs Egg,2 cups Coconut milk,1/2 cup Chopped onion,1 tsp Garlic paste,2 tsp Cumin powder,1 tsp Dried red chili powder,1/2 tsp Turmeric powder,1 pc Cinnamon,1 pc Cardamom,1 pc Bay leaf,4-5 pcs Green chili,3 tbsp Vegetable/Soybean oil,1 tsp Crispy fried onion (beresta, optional),To taste Sugar,To taste Salt",,"500,480,60,5,10,5,2.5,1,0.5,1,20,45,2,5,5",1,0,1,0,1,178.1,3.38,7.29,14.83,0.57
Lau Chhechki,,5,15,15,"1 pc Bottle gourd (Medium size),1/2 cup Chopped onion,1 tbsp Chopped garlic,5-6 pcs Sliced green chili,2 pcs Bay leaf,1 tsp Whole cumin,2 pcs Egg,1 tsp Turmeric powder,3 tbsp Vegetable/soybean oil,To taste Salt",,"600,60,10,20,2,5,100,5,45,5",1,0,1,0,1,133.2,7.92,3.56,10.38,1.22
Mishti Alur Roshbora,,6,20,30,"2 large size Sweet potatoes,2 tbsp Milk powder,2 tbsp Semolina,1/4 tsp Baking soda,1 tsp Ghee,2 pcs Cardamom,1 cup Jaggery,2 cups Water,For deep frying Oil",,"400,15,20,1.25,5,1,200,480,300

",1,0,0,1,0,279.42,53.87,2.85,6.72,2.23
Langcha,,6,20,20,"1 cup Milk powder,1 pc Egg,2 tbsp Semolina,2 tsp Flour,1/2 tsp Baking powder,2 tbsp Ghee,1 and 1/2 cups Sugar,To deep fry Oil,4 cups Water,1 pc Cardamom",,"120,50,30,10,2.5,30,300,300,960,0.5",1,0,0,1,0,417.67,70.02,7.22,13.88,0.23
Dark Chocolate Cake,,4,20,30,"2 pcs eggs,2/3 cup Sugar,1/4 cup Butter,100 gm Dark chocolate,1/2 cup Flour,1/4 cup Cocoa powder,1/2 tsp baking powder,Just a pinch Salt",,"100,135,57,100,60,30,2.5,0.5",1,0,0,1,0,469.75,60.25,7.53,24.1,5.2
Coconut Laddu,,4,10,20,"1 and 1/2 cup Shredded coconut,1 cup Sugarcane jaggery,1/4 tsp Cardamom powder",,"120,150,1.25",1,0,0,1,0,350.5,56.1,1.88,15.38,4.15
Mishti Doi,,4,10,20,"3 cups Milk,1/2 cup Sugar,1/2 cup Sour yogurt",,"720,100,120",1,0,0,1,0,,,,,
Puli Pitha,,6,30,20,"1 and 1/2 cup Shreded coconut,1/2 cup Sugar,2 pcs Cinnamon,1 pc Cardamom,1 cup Rice flour,1/2 cup Wheat flour,To deep fry Oil",,"150,100,5,2,120,60,500",1,0,0,1,0,,,,,
Sabudana Halwa,,3,10,30,"200 gm sago,1/3 cup Sugar,2 tbsp Ghee,6/7 pcs Cashew nuts,2 pcs Cinnamon,2 pcs Cardamom,Just a pinch Food color",,"200,67,30,12,5,4,1",1,0,0,1,0,,,,,
Vanilla Cup Cake,,6,20,30,"1/2 cup Flour,1/2 cup Sugar,2 tbsp Powder milk,2 pcs Eggs,2 tbsp Oil,1/2 tsp Baking powder,1/2 tsp Vanilla essence",,"60,100,30,136,30,2.5,2.5",1,0,0,1,0,,,,,
Rasmalai,,4,20,15,"1 and 1/2 cup Milk powder,3 cup Liquid milk,1/4 tsp Cardamom powder,1/2 cup Sugar,1/2 tsp Baking powder,1tbsp Ghee,1 pc Egg",,"180,720,1.25,100,2.5,15,50",1,0,0,1,0,,,,,
Falooda,,4,15,40,"1/2 cup Sago,2 cups Milk,1 and 1/2 cup Sugar,2 tsp Agar agar powder,2 tsp Milk powder,As required Food colors",,"90,480,300,10,10",1,0,0,1,0,,,,,
Chhanar Jilapi,,6,30,30,"1 and 1/2 liters Liquid milk,5 tsp Flour,2 tsp Milk powder,2 tsp Semolina,1/2 tsp Baking powder,1 tsp Ghee,1/4 tsp Cardamom powder,1 and 1/2 cups Sugar,1 cup Water,To fry Oil,1/2 cup Plain yogurt",,"1500,25,10,10,2.5,5,1.25,300,240,120",1,0,0,1,0,,,,,
Mohabbat Ka Sharbat,,2,30,10,"As required Sago,1/4 cup Sugar,1/4 cup Water,1/2 tsp Rose water,A drop Food color,2 cups Cold liquid milk,As required Watermelon cubes",,"50,50,60,2.5,1,480,50",1,0,0,1,0,,,,,
Balushai Mishti,,4,15,30,"1 and 1/2 cup Flour,1/4 cup Ghee,1/2 tsp Baking powder,1 cup Sugar,1 pc Cardamom,To fry Oil",,"180,60,2.5,200,1,100",1,0,0,1,0,,,,,
Dudh Semai,,4,10,30,"200 gm Vermicelli,1 liter Liquid milk,As required Dry nuts & raisins,2 tbsp Ghee,1/2 cup Sugar
1/2 tsp Cinnamon-cardamom powder,Just a pinch Salt",,"200,1000,30,100,2.5,1",1,0,0,1,0,,,,,
Roshogolla,,5,40,50,"1 and 1/2 liter Full cream liquid milk,1/2 cup Yogurt,1 cup Sugar,1 tsp Milk powder,2 tbsp Flour,Just a pinch Cardamom powder",,"1500,125,200,5,30,0.5",1,0,0,1,0,,,,,
Nolen Gurer Payesh,,6,10,20,"1/3 cup Aromatic rice (Kalojeera/Chinigura),1 liter Milk,1/2 cup New jaggery,2 pcs Cinnamon,2 pcs Cardamom,4-5 pcs Raisin,Just a pinch Salt (Optional)",,"65,1000,100,5,1,4,0.5",1,0,0,1,0,,,,,
Thai Soup,,6,10,20,"1 pc Egg,1/4 cup Tomato ketchup,1/4 cup Red chili sauce,1 tsp Black pepper powder,2 tsp Sugar,3 tbsp Corn flour,1 tbsp Butter,100 gm Chicken,100 gm Prawn,100 gm Mushroom,3 sticks Lemon grass,30 gm Thai ginger/ginger slice,1/2 tsp Chopped Garlic,1 tsp Soy sauce,1 tsp Oyster sauce,1 tbsp Red chili paste,2 tbsp Lemon juice,2 tsp Salt,As required Chopped coriander leaves",,"50,60,60,5,10,45,15,100,100,100,15,30,2.5,5,5,15,30,10,5",0,0,0,1,0,,,,,
Potato Cheese Balls,,4,15,20,"1 cup Boiled potato,1 tbsp Chopped onion,1/2 tsp Chopped green chilies,1 tbsp Chopped coriander leaves,1/4 tsp Chili flakes,1/4 tsp Black pepper powder,2 tbsp Grated cheese,1/4 tsp Italian mixed herbs,To taste or 1 tsp Salt,To deep fry Oil",,"200,15,2.5,15,1.25,1.25,30,1.25,5",1,0,0,1,0,,,,,
Muri Vaja,,4,10,15,"2 cups Puffed rice,1 tbsp Chopped onion,1/2 tsp Chopped garlic,2 tbsp Mustard oil,1/2 tsp Chopped ginger,1/4 tsp Turmeric powder,Just a pinch/ 1 pcs Salt,1/2 tsp Chopped green chilies",,"60,15,2.5,30,2.5,1.25,5,2.5",1,0,0,1,0,,,,,
Sujir Biscuit Pitha,,4,10,20,"1 cup Semolina,2 tbsp Milk powder,1/2 cup Sugar,1/4 tsp Salt,1 tsp Ghee,To fry Oil",,"200,30,100,1.25,5,100",1,0,0,1,0,,,,,
Piyaji,,4,150,30,"1 cup Mixed dals,1 cup Chopped onion,2 tbsp Chopped green chilies,To taste Salt,1/2 tsp Turmeric powder,To fry Oil",,"200,150,30,2.5,100",1,0,0,1,0,,,,,
Chinese Vegetables,,4,10,30,"500 gm Vegetables (Broccoli. Chinese cabbage & bok choy),1/2 tsp Chopped Garlic,2/3 pcs Dried red chili,3/4 pcs Chopped green chilies,1/2 cup Chopped onion,2 tbsp Oil,1/2 tsp Black pepper powder,To taste Salt,2 tbsp Corn flour,To taste Sugar",,"500,2.5,2,3,75,30,2.5,5,30,5",1,0,1,0,1,,,,,
Masala Dudh Cha,,2,5,10,"1 Cup Cow milk,1 tbsp Tea,1 tbsp or to taste Sugar,1 pc Cardamom,2 pcs Cloves,2 pcs Cinnamon,2 pcs Black pepper,1 cup Water,2 slice Ginger,1 pc Bay leaf",,"240,15,15,1,1,2,0.5,240,10,1",1,0,0,1,0,,,,,
Alu Pakora,,4,15,20,"1 cup Finely chopped potato,2 tbsp Chopped onion,1 tsp Chopped green chili,1/2 tsp Ginger paste,1/4 tsp Roasted cumin powder,1/4 tsp Roasted coriander powder,1 tsp Chopped coriander leaves,3 tsp+1 tsp Gram flour,To taste Salt",,"150,30,5,2.5,1.25,1.25,5,20,5",1,0,0,1,0,,,,,
Alur Chop,,6,30,30,"1 and 1/2 cup Gram flour,3 tbsp Rice flour,1 tbsp Corn flour,1 tsp Ginger-garlic paste,1/2 tsp Roasted cumin powder,1 tsp Roasted coriander powder,1 tsp Red chili powder,To taste Salt",,"180,45,15,5,2.5,5,5,5",1,0,0,1,0,,,,,
Hot Tomato Ketchup,,6,15,45,"1 kg Tomato,1 tbsp Chopped onion,3 cloves Garlic,1 tsp or to taste Sugar,To taste Salt,1 tsp Red chili powder,1/4 tsp Cinnamon powder,1/4 tsp Cloves powder,2 tbsp Vinegar,1 tsp Corn flour",,"1000,15,9,5,5,5,1.25,1.25,30,5",1,0,0,1,0,,,,,
Badhakopir Pakora,,4,15,15,"1 cup Finely chopped cabbage,1/2 cup Grated carrots,2 tbsp Chopped onion,1 tbsp Chopped green chilies,2 tbsp Chopped coriander leaves,1/2 tsp each Ginger-garlic pastes,1/2 tbsp Roasted cumin powder,1/2 tsp Roasted coriander powder,1 tbsp Corn flour,1/2 cup Gram flour,To taste Salt,1/2 tsp each Oregano-parsley (optional),To deep fry Vegetable/soybean oil",,"100,50,30,15,15,2.5,7.5,2.5,15,50,5,2.5,2.5,200",1,0,0,1,0,,,,,
Crispy Beguni,,6,20,20,"1 pc Brinjal/eggplant/aubergine,1 cup Gram flour,1 tbsp Rice flour,1 tbsp Corn flour,1/2 tsp Ginger paste,1/2 tsp Garlic paste,1/2 tsp Roasted cumin powder,1/2 tsp Roasted coriander powder,1 tsp Dried red chili powder,To deep fry Vegetable oil,To taste Salt,1 tsp Vegetable oil",,"200,120,15,15,2.5,2.5,2.5,2.5,5,200,5,5",1,0,0,1,0,,,,,
Chinese Vegetable with Chicken,,4,20,20,"1/2 cup Boneless chicken,1/4 tsp Ginger paste,1/4 tsp Garlic paste,1 & 1/2 tsp Soy sauce,3/4 tsp Black pepper powder,1 cup Sliced carrot,1 cup Cauliflower pieces,1 & 1/2 cup Chopped cabbage,3 tbsp Vegetable/soybean oil,1 pc Egg,1 tsp Tomato sauce,2 pcs Onion, cube-cut,4-5 pcs Green chili, chopped,2 tbsp Corn flour,As per requirement Water,To taste Salt,To taste Sugar, optional,As per requirement Chopped spring onion, optional",,"100,1.25,1.25,7.5,3.75,120,100,150,45,50,5,200,20,30,240,5,5,50",0,0,1,0,1,,,,,
Vegetable Egg Noodles,,2,15,30,"250 gm Stick noodles,2 pcs Egg,1/2 cup Chopped carrot,1/2 cup Chopped cauliflower,1/2 cup Chopped cabbage,1/3 cup Chopped bean,1/3 cup Chopped onion,2-3 pcs Sliced or chopped green chilies,1 tsp Minced garlic,3 tbsp Vegetable/Soybean oil,1/2 tsp Crushed black pepper or powder,1 tsp Ajinomoto/tasting salt (optional),1 tbsp Soy sauce,To taste Salt,1 tsp Sugar (optionanl)",,"250,100,50,50,50,33,33,10,5,45,2.5,5,15,5,5",1,1,1,1,1,,,,,
Mix Veg,,4,15,20,"500 gm Seasonal mixed vegetables,1 tsp Special spices mix (Panch foron),2 pcs Bay leaves,2 pcs Cardamom,3 pcs Cinnamon,3 pcs Green chili,4 pcs Dried red chili,1/2 tsp Cumin powder,1/2 tsp Turmeric powder,1/2 tso Ginger paste,1 tsp Sugar,1/2 tbsp Corn flower,3 tbsp Vegetable/Soybean oil,To taste Salt",,"500,5,2,2,3,12,8,2.5,2.5,2.5,5,7.5,45,5",1,1,1,1,1,,,,,
Kacha Aam Vorta,,4,15,10,"2 pcs Green mango,1 tsp Whole Mustard,2/3 pcs Green chilli,To taste Salt,To taste Sugar,1/2 pcs Dried red chili,To taste Black salt",,"400,5,6,5,5,2,2",1,0,0,1,0,,,,,
Fulkopir Pakora,,6,15,15,"1 pc Cauliflower, medium size,1 cup Gram flour,1 tbsp Corn flour,1 tsp Ginger paste,1/2 tsp Garlic paste,1/2 tsp Cumin powder,1/2 tsp Roasted coriander powder,1 tsp Dried red chili powder,To taste Salt,To deep fry Vegetable/soybean oil",,"500,100,15,5,2.5,2.5,2.5,5,200",1,0,0,1,0,,,,,
Jhura Nimki,,6,20,30,"1 cup Wheat flour,1 tbsp Vegetable/soybean oil,1 tsp Black cumin,1/2 tsp Dried red chili powder,2 cups Vegetable/soybean oil to fry,As per requirement Water,To taste Salt",,"120,15,5,2.5,200,100,5",1,0,0,1,0,,,,,
Fulcopir Data,,4,15,30,"200 gm Cauliflower stem,1 pc Brinjal,1 pc Raw banana,1 pc Potato,1/2 cup Pumpkin,1 tbsp Chopped onion,1 tsp Chopped garlic,1 tsp Cumin,2 pcs Red chili,4/5 pcs Green chili,1 pc Bay leaf,1 tsp Turmeric powder,2 tbsp Oil,To taste Salt,4/5 pcs Bori",,"200,250,150,200,100,15,5,5,5,10,0.5,5,30,5,20",1,0,1,0,1,,,,,
Cholar Ghugni,,4,10,40,"500 gm Chickpeas,1/2 cup Chopped onion,4/5 pcs Garlic cloves,6/7 pcs Green chilies,1 tsp Turmeric powder,1/2 cup Oil,To taste Salt,1 medium in size Potato",,"500,75,20,15,5,120,5,200",1,0,0,1,0,,,,,
Sauteed Butter Garlic Mushrooms,,3,10,10,"1 can Canned mushroom,2 tbsp Butter,2 tsp Chopped garlic,1/2 tsp Chili flakes,1/2 cup Chopped onion,1/2 tsp Soy sauce,1 tsp Tomato sauce,1/4 tsp Black pepper powder,Just a pinch/to taste Salt,1/2 tsp Lemon juice",,"400,30,10,2.5,75,2.5,5,1.25,1,2.5",1,0,1,1,1,,,,,
Alur Dom,,4,10,30,"2 pcs (medium in size) Potatoes,1 tsp Chopped onion,5-6 pcs Green chilies,1/2 tsp Turmeric powder,To taste Salt,2 tbsp Oil",,"300,5,10,2.5,30,5",1,1,1,1,1,,,,,
Spicy Kashmiri Achar,,4,10,25,"2 pcs (medium in size) Green mango,1 cup Sugar,1/2 cup Vinegar,1 tbsp Ginger slices,1/2 tbsp Chopped dried red chilies,2 pcs Cinnamon,2 pcs Cardamom,3 pcs Cloves,To taste Salt,1 pc Bay leaf",,"400,200,120,15,7.5,4,1,1,5,0.5





",1,0,0,1,0,,,,,
Mug Dal Pepe Ghonto,,4,10,20,"1 cup Chopped papaya,1/2 cup Mung dal,2 tbsp Chopped onion,2 tbsp Chopped garlic,2 pcs Green chilies,1 pc Red chili,1/2 tsp Turmeric powder,2 tbsp Oil,To taste Salt,1/2 tsp Whole cumin",,"150,100,30,30,5,3,2.5,30,5,2.5",1,0,1,0,1,,,,,
Kochu Shak Ghonto,,4,30,30,"2 pcs Taro stem,1/2 cup Mashed prawns,2 tbsp Chopped onion,1 tbsp Chopped garlic,8-10 pcs Green chilies,2 pcs Bay leaves,1 tsp Turmeric powder,1/2 tsp Mustard paste,3 tbsp Oil,To taste Salt",,"200,100,30,15,15,2,5,2.5,45,5",1,0,1,0,1,,,,,
Amer Achar,,6,20,30,"1 kg Green mango,1 tsp each Ginger-garlic paste,250 gm Mustard oil,2 pcs Dried red chili,2 pcs Bay leaves,1/4 tsp Whole mustard,2 tbsp or as to taste Sugar,2 tsp Vinegar,To taste Salt,1 tsp Turmeric powder",,"1000,5,250,2,2,1.25,30,10,5,5",1,0,0,1,0,,,,,
Kacha Amer Shorbot,,4,10,10,"1 pc (large) Green mango,1 tsp or to taste Black salt/salt,1/2 tsp Roasted cumin powder,1 pc Roasted red chili,2 pcs or to taste Green chili,5/6 pcs Ice cube,2 tbsp or to taste Sugar,4 cups Water",,"250,5,2.5,8,2,100,30,1000",1,0,0,1,0,,,,,
Sojne Data,,6,10,25,"250 gm Drumstick,1 pc Potato (Medium size),2 tbsp Chopped onion,1 tsp Dried red chili powder,1 tsp Mustard paste,1/2 tsp Cumin powder,1 tsp Turmeric powder,2 pcs Tomato,2 tbsp Vegetable/soybean oil,To taste Salt",,"250,150,30,5,5,2.5,5,200,30,5",1,0,1,0,1,,,,,
Dhoniya Pata Jolpai Vorta,,4,15,15,"200 gm Cilantro/coriander leaves,1 pc Fresh olive pieces without seed,4 pcs/to taste Dried red chili,2 pcs/to taste Green chili,2 pcs Onion, medium, cube-cut,4 pcs Garlic cloves, large,1 tbsp Mustard oil,1/2 tsp Cumin powder, optional,To taste Salt",,"200,50,8,10,200,12,15,2.5,5",1,0,0,1,0,,,,,
Jolpai Achar,,2,15,30,"1/2 kg Olive,1 cup Mustard oil,1 tsp Whole punch foron (Five spices mix),1/2 tsp Ginger paste,1/2 tsp Garlic paste,1 tsp Roasted cumin powder,1/2 tsp Whole mustard,2 tbsp Jaggery/sugar,1 tbsp Vinegar,1 tsp Turmeric powder,2 pcs Bay leaves,5-6 pcs Dried red chilies,1/2 tsp Roasted punch foron powder,To taste Chili powder,To taste Salt",,"500,240,5,2.5,2.5,5,2.5,30,15,5,2,5,2.5,5",1,0,0,1,0,,,,,
Kanchkolar Chop,,4,10,30,"4 pcs Green banana,1/2 tsp each Ginger-garlic pastes,2 tbsp Fried onion,1 tsp Chopped green chilies,1/2 tsp Roasted coriander powder,1/2 tsp Cumin powder,Just a pinch Cardamom powder,As required Chopped coriander leaves,To taste Salt,2 tbsp Cornflour,To shallow fry Vegetable/soybean oil",,"400,2.5,2.5,30,5,2.5,2.5,0.5,10,5,15,50",1,0,0,1,0,,,,,
Oler Data Kathal Bichi,,4,15,20,"5-6 pcs Elephant arum stem,250 gm Jack fruit seeds,6-7 pcs Sliced green chilies,2 tbsp Chopped onion,2 pcs Cinnamon,2 pcs Cardamom,1 tsp Mustard paste,1/2 tsp Cumin powder,1/2 tsp each Ginger-garlic paste,1 tsp Turmeric powder,1/4 cup Vagetable/soybean Oil,To taste Salt,1 pc Bay leaf",,"300,250,10,30,2,1,5,2.5,2.5,5,60,5,0.5",1,0,1,0,1,,,,,
Kacha Aamer Chutney,,6,20,20,"2 pcs Green mango, big size,1/2 cup Jaggery,1/2 cup Mustard oil,1/2 tsp Ginger paste,1/2 tsp Garlic paste,2 tsp Roasted Five spices mix (Panch foron) powder,1 tsp Roasted cumin powder,1 tsp Roasted coriander powder,To taste Salt,1 tbsp Vinegar,1 tsp Dried red chili powder",,"400,100,120,2.5,2.5,10,5,5,5,15,5",1,0,0,1,0,,,,,
Boroi Chutney,,4,15,25,"500 gm Dried plum,1 cup Sugercane jaggery,1 tbsp Punch foron (Five spices mix),1 tsp Dried red chili powder,To taste Salt",,"500,150,15,5,5

",1,0,0,1,0,,,,,
Tetuler Shorbot,,4,15,10,"150 gm Tamarind,To taste Black salt,As required Roasted cumin powder,As required Red chili powder,To taste Sugar/jaggery,To taste Salt,As required Roasted coriander powder,4 cups Water",,"150,5,5,5,50,5,5,1000",1,0,0,1,0,,,,,
Pineapple Juice,,2,10,10,"2 cups Pineapple slice,2 tbsp Sugar,2 pcs Green chilies,1 tsp or to taste Black salt,3 cup Water,As required Ice",,"300,30,10,5,750,100





",1,0,0,1,0,,,,,